"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","442","waitForConfirmation","Surefire suite","Sun Jan 25 15:41:56 UTC 2026","passed","Sun Jan 25 15:41:57 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","waitForConfirmation"
"","475","updateProfile","Surefire suite","Sun Jan 25 15:41:58 UTC 2026","passed","Sun Jan 25 15:41:58 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","updateProfile"
"","482","readProfile","Surefire suite","Sun Jan 25 15:41:57 UTC 2026","passed","Sun Jan 25 15:41:58 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","readProfile"
"","55","waitForConfirmation2","Default Suite","Sun Jan 18 16:55:00 UTC 2026","passed","Sun Jan 18 16:55:00 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Lec22_HomeWork","com.hapifyme.api.tests.UserLifecycleTest","waitForConfirmation2"
"","946","deleteProfile","Surefire suite","Sun Jan 25 15:41:58 UTC 2026","passed","Sun Jan 25 15:41:59 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","deleteProfile"
"This test registrates a new user and returns apiKey, user ID and user Name for the next steps ","6696","Register new user","Surefire suite","Sun Jan 25 15:41:50 UTC 2026","passed","Sun Jan 25 15:41:56 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","registerUser"
"","547","login","Surefire suite","Sun Jan 25 15:41:57 UTC 2026","passed","Sun Jan 25 15:41:57 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","login"
