"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test registrates a new user and returns apiKey, user ID and user Name for the next steps ","6306","Register new user","Surefire suite","Sun Jan 25 15:52:27 UTC 2026","passed","Sun Jan 25 15:52:33 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","registerUser"
"","424","updateProfile","Surefire suite","Sun Jan 25 15:52:34 UTC 2026","passed","Sun Jan 25 15:52:35 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","updateProfile"
"","437","readProfile","Surefire suite","Sun Jan 25 15:52:34 UTC 2026","passed","Sun Jan 25 15:52:34 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","readProfile"
"","514","login","Surefire suite","Sun Jan 25 15:52:33 UTC 2026","passed","Sun Jan 25 15:52:34 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","login"
"","402","waitForConfirmation","Surefire suite","Sun Jan 25 15:52:33 UTC 2026","passed","Sun Jan 25 15:52:33 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","waitForConfirmation"
"","55","waitForConfirmation2","Default Suite","Sun Jan 18 16:55:00 UTC 2026","passed","Sun Jan 18 16:55:00 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Lec22_HomeWork","com.hapifyme.api.tests.UserLifecycleTest","waitForConfirmation2"
"","835","deleteProfile","Surefire suite","Sun Jan 25 15:52:35 UTC 2026","passed","Sun Jan 25 15:52:36 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","deleteProfile"
