"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","","0"
"0","hapifyMe Project","0","e2e User LifeCycle module","5","0","","0"
"0","hapifyMe Project","0","e2e User LifeCycle module","1","0","JIRA-01. I want to create a new user, log in and delete it","0"
