"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55","waitForConfirmation2","Default Suite","Sun Jan 18 16:55:00 UTC 2026","passed","Sun Jan 18 16:55:00 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Lec22_HomeWork","com.hapifyme.api.tests.UserLifecycleTest","waitForConfirmation2"
"","677","login","Surefire suite","Sun Jan 25 15:05:31 UTC 2026","passed","Sun Jan 25 15:05:32 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","login"
"","588","waitForConfirmation","Surefire suite","Sun Jan 25 15:05:31 UTC 2026","passed","Sun Jan 25 15:05:31 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","waitForConfirmation"
"","604","readProfile","Surefire suite","Sun Jan 25 15:05:32 UTC 2026","passed","Sun Jan 25 15:05:33 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","readProfile"
"","596","updateProfile","Surefire suite","Sun Jan 25 15:05:33 UTC 2026","passed","Sun Jan 25 15:05:33 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","updateProfile"
"","1203","deleteProfile","Surefire suite","Sun Jan 25 15:05:33 UTC 2026","passed","Sun Jan 25 15:05:34 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","deleteProfile"
"This test registrates a new user and returns apiKey, user ID and user Name for the next steps ","6779","Register new user","Surefire suite","Sun Jan 25 15:05:24 UTC 2026","passed","Sun Jan 25 15:05:31 UTC 2026","com.hapifyme.api.tests.UserLifecycleTest","Surefire test","com.hapifyme.api.tests.UserLifecycleTest","registerUser"
